IssueType,DeviceType,IssueTime,IssueDetails,MobileNumber,emailId,mode,cdn,DeviceDetails,OSDetails,platform,new_Platform,AppVersion,country,state,NetworkStrength,contentID,AdvertiseVideo,userIdentifier,ContractId,Customer_Id,ComplaintId
Customer Support,Tablets,25/10/2022 00:00:00,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,1421931044,jtournerp@vkontakte.ru,Chat,Akamai,tvOS,tvOS 11.0,Zee5,,Xcode 14.1,Tunisia,Tunis,,91747ecc-74e4-4799-b63a-3836899a7a6e,Video,sarapowell,73-4241335,1138996,2216206
Multiple user accounts,Mobile,09/02/2022 00:00:00,dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,5581928886,astlouisq@networkadvertising.org,Phone Call,Cloudfront,Android,Android 5.0,Voot,,Android 11,Bhutan,Thimphu,,3e3467ad-a8dc-40c9-a393-06a7f7780908,Advertise,brittany88,57-1132344,1578742,1472017
Response Time in different networks,Mobile,29/06/2022 00:00:00,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis,555166023,twoodsonr@sohu.com,Email,Cloudfront,Android TV,Android TV 1st Generation,Voot,,Android TV 12.3.2,Democratic Republic of the Congo,Kinshasa,,b1272bb1-ee5c-4ee5-bfec-a9d00d65fa71,Advertise,bridgesfrank,53-0050152,1709277,1637385
Multiple user accounts,TV,27/08/2022 00:00:00,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,101961146,ddowthwaites@blogger.com,Chat,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Eros Now,,None,United Arab Emirates,Abu Dhabi,,626e93eb-281d-4a2d-b336-752656cd9762,Video,hernandeztodd,95-4304590,1508823,2051099
Playback Quality,Mobile,02/03/2022 00:00:00,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,3746224039,gcasillast@desdev.cn,Chat,Akamai,Amazon Fire TV,All Fire TV devices,Airtel Xstream,,FireOS 7.6.1.3,Aland Islands,Mariehamn,,4f3ba52a-c5c4-41e1-bb9d-0099ea3c0663,Video,thompsonrose,61-5450051,1323870,1898476
Device/Browser Compatibility,Mobile,30/07/2022 00:00:00,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,3406394736,ndrysdallu@pinterest.com,Email,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Alt Balaji,,Windows 10,Sao Tome and Principe,Sao Tome,,13266915-71bd-4f1f-bd8b-8fc2500557e5,Video,wrogers,32-3732771,1414851,1033355
Offline content,TV,14/05/2022 00:00:00,sed augue aliquam erat volutpat in congue etiam justo etiam,4929484685,veastwayv@php.net,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,Voot,,Extension 6.5,Peru,Lima,,b5f0325f-6495-40dc-b4f0-34965b2b8409,Advertise,christianstevens,95-5976456,1764281,2155899
Playback Quality,Mobile,09/09/2022 00:00:00,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,7864722822,dromeufw@plala.or.jp,Phone Call,Akamai,iOS,iOS Min version 12.6,ShemarooMe,,macOS Ventura 13.0.1,Croatia,Zagreb,,35a61fa7-ce9f-49e5-910e-3a54624f9405,Video,dawn80,52-2146053,1291798,1436293
Functionalities and features of the app,Laptop,08/07/2022 00:00:00,ipsum primis in faucibus orci luctus et ultrices posuere cubilia,3123555305,ecorstonx@behance.net,Phone Call,Cloudfront,tvOS,tvOS 11.0,Sling TV,,Xcode 14.1,Mayotte,Mamoudzou,,930fb923-cc74-4be4-94cc-6f03f7b025e2,Advertise,christopher50,61-9343359,1873969,2411860
Playback Quality,Mobile,13/11/2022 00:00:00,iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,1492736481,aheaky@xing.com,Email,Akamai,Android,Android 5.0,ShemarooMe,,Android 11,Latvia,Riga,,cfbedfbf-9f5b-4a2d-bc54-91329cd72ecd,Video,qhatfield,54-8839774,1888210,533820
Functionalities and features of the app,Laptop,22/04/2022 00:00:00,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,7169571226,sbuglarz@skyrock.com,Phone Call,Akamai,Android TV,Android TV 1st Generation,BigFlix,,Android TV 12.3.2,Morocco,Rabat,,063eff61-9f98-4eb2-9f7d-78c34b259b48,Video,cjames,91-9973737,1547494,1846988
Personalized suggestions and recommendations for content,Desktop,19/06/2022 00:00:00,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,5910241567,bpatrick10@nps.gov,Email,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Mx Player,,None,South Sudan,Juba,,5e47665a-f0a3-4bd5-965c-48bc5b7409b9,Video,jonathanharper,62-7715222,1674114,2364257
Better user interface and workability,TV,03/05/2022 00:00:00,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,2128202000,wgolborne11@w3.org,Email,Akamai,Amazon Fire TV,All Fire TV devices,YouTube TV,,FireOS 7.6.1.3,Bulgaria,Sofia,,7e3fc953-801b-4386-a730-7e3fead51d7d,Video,steven50,98-1492777,1330233,934381
Security and anti-piracy,TV,01/04/2022 00:00:00,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,6709967476,rhallford12@oaic.gov.au,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,Amazon Prime Video,,Windows 10,Panama,Panama City,,f61331c3-ba21-4b2f-a39a-f3aae7ef2ea7,Advertise,iwhite,93-3061792,1443666,104285
Response Time in different networks,Desktop,18/11/2022 00:00:00,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,5131371155,gpadula13@dagondesign.com,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,Eros Now,,Extension 6.5,Kazakhstan,Astana,,6e97fad6-8fa6-4c94-984b-fb55d086f093,Advertise,ubruce,15-4853709,1574283,2092228
Security and anti-piracy,Desktop,27/09/2022 00:00:00,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,6435836906,nslite14@last.fm,Email,Akamai,iOS,iOS Min version 12.6,BigFlix,,macOS Ventura 13.0.1,Uruguay,Montevideo,,bf280fc4-9a9f-4d08-b041-05511cd3966b,Video,vmartinez,36-9510053,1866940,425606
Personalized suggestions and recommendations for content,Mobile,24/08/2022 00:00:00,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est,4746010250,hcornbell15@time.com,Phone Call,Akamai,tvOS,tvOS 11.0,Voot,,Xcode 14.1,Uganda,Kampala,,916d0c15-035f-48a4-914a-2d6da83bd6b5,Advertise,anthony27,49-8272859,1188917,73144
Playback Quality,TV,12/06/2022 00:00:00,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu,1449717101,sdruhan16@wordpress.com,Chat,Cloudfront,Android,Android 5.0,Peacock,,Android 11,India,New Delhi,,0107b543-5409-46f0-9af5-888af8d4db8a,Video,nlawrence,71-2791396,1491485,953726
Offline content,Mobile,17/08/2022 00:00:00,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,4508934544,bingleston17@wikia.com,Chat,Cloudfront,Android TV,Android TV 1st Generation,Airtel Xstream,,Android TV 12.3.2,Papua New Guinea,Port Moresby,,70e7c1d0-ad14-474e-aa1a-bf6804bfa3ad,Video,monique74,94-3600466,1381317,2349987
Device/Browser Compatibility,TV,10/05/2022 00:00:00,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,2523487225,abrew18@skyrock.com,Chat,Akamai,Roku,Roku OS 9.4 3rd Generation,Peacock,,None,Cocos Islands,West Island,,c0e6ad99-125b-454b-9af7-3a920c7c985d,Advertise,rasmussenangela,44-7219950,1246402,1067722
Playback Quality,Laptop,14/04/2022 00:00:00,proin at turpis a pede posuere nonummy integer non velit donec diam neque,6342521050,clafay19@cpanel.net,Chat,Cloudfront,Amazon Fire TV,All Fire TV devices,Netflix,,FireOS 7.6.1.3,Curacao,Willemstad,,7674f1fb-77c4-45ca-8889-8647d3c6cbb2,Advertise,sloantracy,04-1430602,1641291,2264069
Personalized suggestions and recommendations for content,Tablets,29/01/2022 00:00:00,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,9796352575,rvaughan1a@eepurl.com,Chat,Akamai,Universal Windows Platform (UWP),Xbox One X/S,YouTube TV,,Windows 10,Malawi,Lilongwe,,23e7dbae-ac4d-47fa-8c01-c6ca6cf288fc,Advertise,courtneymartin,96-7298674,1716706,2446404
Better user interface and workability,Mobile,22/11/2021 00:00:00,nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,5736352591,mcapin1b@live.com,Phone Call,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,YouTube TV,,Extension 6.5,Solomon Islands,Honiara,,f57dafb1-fc73-4fae-96fc-7ca69e67f8ec,Advertise,longcody,91-9944921,1395153,2199687
Response Time in different networks,Tablets,13/07/2022 00:00:00,et commodo vulputate justo in blandit ultrices enim lorem ipsum,1793350949,oproppers1c@mlb.com,Email,Cloudfront,iOS,iOS Min version 12.6,Eros Now,,macOS Ventura 13.0.1,Laos,Vientiane,,89ce5e46-1796-4854-9acd-abc4cbe37375,Advertise,audreymcintosh,69-7612932,1697859,339038
Playback Quality,Mobile,17/08/2022 00:00:00,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,3661303813,rcattemull1d@cloudflare.com,Chat,Cloudfront,tvOS,tvOS 11.0,Hulu,,Xcode 14.1,Lithuania,Vilnius,,4afed660-a242-4653-9956-a1922ab3cee1,Advertise,kevinphillips,52-2646166,1193227,1471125
Offline content,TV,17/06/2022 00:00:00,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,2058227352,pcantle1e@freewebs.com,Phone Call,Cloudfront,Android,Android 5.0,Jio Tv,,Android 11,Serbia,Belgrade,,2ef03154-bf7e-44aa-8d84-0254219a0050,Video,brownhannah,69-6606404,1850736,794050
Personalized suggestions and recommendations for content,Mobile,28/06/2022 00:00:00,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,2781087211,mcardis1f@independent.co.uk,Chat,Cloudfront,Android TV,Android TV 1st Generation,BigFlix,,Android TV 12.3.2,Nicaragua,Managua,,90d3943e-2000-4c3a-9fb3-361a19c537b9,Video,julianhenderson,68-5367018,1771270,1831871
Better user interface and workability,Tablets,05/03/2022 00:00:00,non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,2962265707,nlandrean1g@edublogs.org,Phone Call,Akamai,Roku,Roku OS 9.4 3rd Generation,Netflix,,None,Sri Lanka,Colombo,,5aa1f70f-3be6-417a-8800-811ae3efbb21,Advertise,qdouglas,14-9360688,1840431,192496
Device/Browser Compatibility,TV,13/11/2022 00:00:00,turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis,8890628421,cquerrard1h@wunderground.com,Chat,Cloudfront,Amazon Fire TV,All Fire TV devices,Eros Now,,FireOS 7.6.1.3,Venezuela,Caracas,,6831a932-6f6e-478b-933b-6a2d27f64917,Video,dgross,46-6181179,1502325,1970545
Better user interface and workability,Desktop,19/03/2022 00:00:00,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,180649132,rflowerden1i@cbslocal.com,Chat,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Hulu,,Windows 10,North Korea,Pyongyang,,4072c7b1-4e34-44b7-827f-6801aa94ffb9,Video,mblanchard,52-9256659,1151072,1198024
Device/Browser Compatibility,Mobile,15/08/2022 00:00:00,in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,6508519794,ddawdry1j@netscape.com,Chat,Cloudfront,Samsung Tizen TV,21TV_PREMIUM2,Sonyliv,,Extension 6.5,Switzerland,Berne,,542d1a18-0060-48a6-a1c6-e5a8c7b51795,Advertise,jefferywatson,10-2236856,1875288,389461
Offline content,Laptop,11/06/2022 00:00:00,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,3190196362,cplet1k@rediff.com,Email,Akamai,iOS,iOS Min version 12.6,Zee5,,macOS Ventura 13.0.1,Cape Verde,Praia,,18027fa0-cb9e-47c4-99e1-86e720b832b9,Advertise,michaelcox,14-7740971,1361963,1576186
Customer Support,Desktop,10/09/2022 00:00:00,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,6049891028,gcornwall1l@e/recht24.de,Email,Cloudfront,tvOS,tvOS 11.0,Airtel Xstream,,Xcode 14.1,Spain,Madrid,,9383c9b4-7625-45b0-a66d-39e71f673a37,Video,davidcantu,49-7608623,1599723,2161728
Customer Support,TV,08/03/2022 00:00:00,eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante,1386885169,aedinburough1m@squidoo.com,Chat,Akamai,Android,Android 5.0,Sling TV,,Android 11,Dominican Republic,Santo Domingo,,082945ca-ed88-443d-baf6-a1aaec7b84ff,Video,fernandezashley,39-1789141,1438784,1135236
Functionalities and features of the app,Mobile,20/10/2022 00:00:00,mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,8114556374,ddendle1n@cisco.com,Chat,Akamai,Android TV,Android TV 1st Generation,HBO Max,,Android TV 12.3.2,United States,Washington,,66d0c469-4498-4cd3-bef6-c5c6068ef262,Video,ogutierrez,75-2886923,1274604,1841482
Functionalities and features of the app,TV,13/08/2022 00:00:00,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,6122072559,bvitler1o@wisc.edu,Email,Cloudfront,Roku,Roku OS 9.4 3rd Generation,Airtel Xstream,,None,Nigeria,Abuja,,765f51a6-bccf-456d-af84-db115b72e130,Video,harriselizabeth,68-8318184,1548860,2423410
Security and anti-piracy,TV,18/03/2022 00:00:00,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,8834570863,hnorthwood1p@unicef.org,Chat,Cloudfront,Amazon Fire TV,All Fire TV devices,Disney + Hotstar,,FireOS 7.6.1.3,Svalbard and Jan Mayen,Longyearbyen,,aa6a9890-56b8-42ee-a6ec-edde3c14fae4,Advertise,timothykline,15-7129413,1570047,1874755
Customer Support,Mobile,14/04/2022 00:00:00,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,6711544404,dpemberton1q@yale.edu,Chat,Cloudfront,Universal Windows Platform (UWP),Xbox One X/S,Jio Tv,,Windows 10,Aruba,Oranjestad,,76cedbe7-dfe6-49bb-9df2-8a8643766d04,Advertise,nhunter,20-6914193,1825757,1516722
Playback Quality,Desktop,06/08/2022 00:00:00,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque,288843746,aharkins1r@earthlink.net,Email,Akamai,Samsung Tizen TV,21TV_PREMIUM2,ShemarooMe,,Extension 6.5,Guinea-Bissau,Bissau,,28b93715-8161-4a0d-8618-9dfc08e4611c,Advertise,richardgraham,47-8302391,1304525,390390
Personalized suggestions and recommendations for content,Mobile,02/09/2022 00:00:00,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,483009695,mmealand1s@google.pl,Chat,Akamai,iOS,iOS Min version 12.6,HBO Max,,macOS Ventura 13.0.1,Iceland,Reykjavik,,1b1d7c96-65ad-470e-92c0-4cc29b6f7daa,Video,hannahcarroll,04-6253575,1750074,2327502
Playback Quality,Laptop,06/07/2022 00:00:00,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,5809074375,cheijnen1t@linkedin.com,Email,Akamai,tvOS,tvOS 11.0,Disney + Hotstar,,Xcode 14.1,Slovenia,Ljubljana,,5247324f-3b54-49c6-88a6-a01bfbe031a2,Video,james21,14-8079041,1134752,957559
Playback Quality,Mobile,19/01/2022 00:00:00,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien,1813477108,edilke1u@creativecommons.org,Phone Call,Akamai,Android,Android 5.0,Facebook Watch,,Android 11,Paraguay,Asuncion,,24729a18-297b-45ba-97ff-57f48e09925e,Video,bjohnson,38-9010631,1505713,598206
Personalized suggestions and recommendations for content,Laptop,11/12/2021 00:00:00,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,6153326641,aingolotti1v@github.com,Chat,Akamai,Android TV,Android TV 1st Generation,Eros Now,,Android TV 12.3.2,Turks and Caicos Islands,Cockburn Town,,7854d8b3-8d77-49f9-9e7d-14fdb499ff1e,Video,rachaelchristensen,33-7200726,1724003,1904547
Playback Quality,Mobile,31/03/2022 00:00:00,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,8778676223,mwiddison1w@wp.com,Phone Call,Cloudfront,Roku,Roku OS 9.4 3rd Generation,ShemarooMe,,None,Georgia,Tbilisi,,fcd1dc50-82c7-44fb-9bfd-bebf2966169d,Advertise,jordansolis,04-5483388,1388519,223071
Offline content,Laptop,05/06/2022 00:00:00,tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,8286715861,rashfield1x@usatoday.com,Phone Call,Cloudfront,Amazon Fire TV,All Fire TV devices,Sling TV,,FireOS 7.6.1.3,Northern Mariana Islands,Saipan,,598f4edf-4a95-4a54-a9b7-32f4f9a02f1e,Video,zclay,19-7300275,1724882,1992309
